municipio,admissoes_mes,desligamentos_mes,saldo_mes,variacao_mes,admissoes_ano,desligamentos_ano,saldo_ano,variacao_ano,admissoes_12m,desligamentos_12m,saldo_12m,variacao_12m,competencia
FERNANDOPOLIS,483,561,-78,-0.48,6119,5293,826,5.39,7364,6876,488,3.12,Setembro/2019
FERRAZ DE VASCONCELOS,573,391,182,1.03,4588,4414,174,0.99,5730,5813,-83,-0.47,Setembro/2019
FLORIDA PAULISTA,20,30,-10,-0.81,507,497,10,0.85,743,665,78,7.04,Setembro/2019
FRANCA,3450,2851,599,0.67,34327,29585,4742,5.54,42382,42133,249,0.28,Setembro/2019
FRANCISCO MORATO,171,268,-97,-1.38,2304,2154,150,2.2,3095,2824,271,4.04,Setembro/2019
FRANCO DA ROCHA,408,354,54,0.37,4220,3757,463,3.25,5502,5313,189,1.3,Setembro/2019
GARCA,280,373,-93,-1.0,2710,2599,111,1.23,3413,3668,-255,-2.71,Setembro/2019
GENERAL SALGADO,26,26,0,0.0,294,290,4,0.34,339,390,-51,-4.15,Setembro/2019
GETULINA,34,29,5,0.51,477,331,146,17.46,535,445,90,10.09,Setembro/2019
GUAICARA,35,28,7,0.53,392,325,67,5.35,496,415,81,6.54,Setembro/2019
GUAIRA,260,207,53,0.36,3995,2474,1521,11.55,4639,4478,161,1.11,Setembro/2019
GUAPIACU,115,122,-7,-0.18,1394,1221,173,4.62,1856,1581,275,7.55,Setembro/2019
GUAPIARA,64,21,43,2.5,373,494,-121,-6.27,597,628,-31,-1.69,Setembro/2019
GUARA,97,70,27,0.98,1127,1003,124,4.65,1351,1315,36,1.31,Setembro/2019
GUARACI,48,41,7,0.35,659,410,249,14.31,733,629,104,5.52,Setembro/2019
GUARARAPES,160,124,36,0.53,1847,1431,416,6.44,2260,2228,32,0.47,Setembro/2019
GUARAREMA,194,197,-3,-0.04,1907,1730,177,2.62,2601,2467,134,1.97,Setembro/2019
GUARATINGUETA,868,679,189,0.66,7859,7251,608,2.15,10014,9756,258,0.9,Setembro/2019
GUAREI,46,29,17,0.73,494,494,0,0.0,640,651,-11,-0.47,Setembro/2019
GUARIBA,152,204,-52,-0.77,2880,2658,222,3.44,3504,3568,-64,-0.95,Setembro/2019
GUARUJA,890,767,123,0.3,8983,9775,-792,-1.87,12875,13081,-206,-0.49,Setembro/2019
GUARULHOS,9241,8345,896,0.28,86252,85086,1166,0.37,111876,111063,813,0.26,Setembro/2019
HOLAMBRA,316,308,8,0.08,3052,2625,427,4.65,3844,3418,426,4.64,Setembro/2019
HORTOLANDIA,1242,1174,68,0.17,11509,10646,863,2.16,14506,13707,799,2.0,Setembro/2019
IACANGA,46,49,-3,-0.1,703,827,-124,-4.01,973,1073,-100,-3.26,Setembro/2019
IBATE,256,173,83,1.34,2187,1723,464,7.98,2716,2320,396,6.73,Setembro/2019
IBIRA,51,57,-6,-0.34,550,520,30,1.73,692,722,-30,-1.68,Setembro/2019
IBITINGA,466,387,79,0.54,4957,4155,802,5.72,6121,5595,526,3.68,Setembro/2019
IBIUNA,508,354,154,1.05,3821,3543,278,1.92,4921,4550,371,2.57,Setembro/2019
IGARACU DO TIETE,63,51,12,0.64,710,549,161,9.28,900,921,-21,-1.1,Setembro/2019
IGARAPAVA,166,174,-8,-0.15,2247,2011,236,4.81,2819,2761,58,1.14,Setembro/2019
IGUAPE,85,44,41,1.29,915,630,285,9.74,1080,909,171,5.62,Setembro/2019
ILHA SOLTEIRA,136,118,18,0.48,1564,1388,176,4.83,2160,1942,218,6.05,Setembro/2019
ILHABELA,186,167,19,0.29,1871,2147,-276,-4.03,2944,2777,167,2.6,Setembro/2019
INDAIATUBA,2368,2456,-88,-0.12,24880,22120,2760,4.0,31169,28874,2295,3.3,Setembro/2019
IPAUSSU,70,74,-4,-0.13,1031,611,420,15.14,1184,945,239,8.09,Setembro/2019
IPERO,220,206,14,0.25,1608,1292,316,5.93,2164,1759,405,7.73,Setembro/2019
IPUA,65,72,-7,-0.34,1065,1023,42,2.08,1379,1310,69,3.47,Setembro/2019
IRACEMAPOLIS,152,142,10,0.14,1647,1442,205,3.02,2086,2162,-76,-1.08,Setembro/2019
ITABERA,86,76,10,0.42,835,769,66,2.85,1027,1044,-17,-0.71,Setembro/2019
ITAI,193,169,24,0.55,1337,1725,-388,-8.07,2258,2427,-169,-3.69,Setembro/2019
ITAJOBI,74,82,-8,-0.29,838,896,-58,-2.03,1073,1104,-31,-1.1,Setembro/2019
ITANHAEM,271,241,30,0.29,2761,2809,-48,-0.46,3816,3558,258,2.55,Setembro/2019
ITAPECERICA DA SERRA,715,703,12,0.06,6955,6965,-10,-0.05,9063,8781,282,1.39,Setembro/2019
ITAPETININGA,1159,1055,104,0.31,11541,10667,874,2.67,14994,14779,215,0.64,Setembro/2019
ITAPEVA,691,493,198,1.1,6514,5885,629,3.58,8279,7738,541,3.06,Setembro/2019
ITAPEVI,827,773,54,0.19,7336,7719,-383,-1.32,10024,10304,-280,-0.97,Setembro/2019
ITAPIRA,613,688,-75,-0.34,6391,5593,798,3.71,7982,7669,313,1.42,Setembro/2019
ITAPOLIS,365,276,89,0.81,3804,3369,435,4.09,4696,4532,164,1.5,Setembro/2019
ITAPORANGA,50,39,11,0.7,453,441,12,0.77,606,558,48,3.14,Setembro/2019
ITAPUI,128,129,-1,-0.02,1304,1200,104,2.42,1803,1619,184,4.37,Setembro/2019
ITAQUAQUECETUBA,1398,1152,246,0.62,12411,11570,841,2.16,16084,15014,1070,2.77,Setembro/2019
ITARARE,180,185,-5,-0.07,1972,1886,86,1.26,2497,2504,-7,-0.1,Setembro/2019
ITARIRI,51,30,21,1.95,305,287,18,1.67,390,403,-13,-1.17,Setembro/2019
ITATIBA,988,853,135,0.39,9087,7994,1093,3.27,11406,10796,610,1.8,Setembro/2019
ITATINGA,147,111,36,1.37,1194,962,232,9.56,1498,1458,40,1.53,Setembro/2019
ITIRAPINA,113,226,-113,-2.62,1516,1680,-164,-3.76,1753,1922,-169,-3.87,Setembro/2019
ITU,1526,1501,25,0.05,14974,14072,902,1.77,19528,18791,737,1.44,Setembro/2019
ITUPEVA,990,801,189,0.69,9176,8310,866,3.24,12183,10844,1339,5.11,Setembro/2019
ITUVERAVA,175,141,34,0.54,1705,1448,257,4.2,2212,1961,251,4.1,Setembro/2019
JABOTICABAL,584,476,108,0.53,6108,5570,538,2.7,8054,7505,549,2.76,Setembro/2019
JACAREI,1349,1232,117,0.27,11973,11694,279,0.64,15603,15515,88,0.2,Setembro/2019
JACUPIRANGA,88,125,-37,-1.33,964,1199,-235,-7.88,1194,1499,-305,-9.99,Setembro/2019
JAGUARIUNA,743,695,48,0.21,6736,6732,4,0.02,9391,10028,-637,-2.67,Setembro/2019
JALES,312,378,-66,-0.64,3004,2738,266,2.58,3699,3555,144,1.38,Setembro/2019
JANDIRA,581,420,161,0.96,5141,4725,416,2.5,6541,6501,40,0.24,Setembro/2019
JARDINOPOLIS,247,262,-15,-0.16,3042,2771,271,2.9,3838,3711,127,1.34,Setembro/2019
JARINU,315,226,89,1.05,2395,2467,-72,-0.84,3019,3093,-74,-0.86,Setembro/2019
JAU,1347,1002,345,0.96,11379,11064,315,0.88,14955,15376,-421,-1.15,Setembro/2019
JOANOPOLIS,75,51,24,1.21,651,589,62,3.17,821,774,47,2.38,Setembro/2019
JOSE BONIFACIO,280,272,8,0.08,3060,2796,264,2.73,3745,4302,-557,-5.3,Setembro/2019
JUNDIAI,5443,4876,567,0.35,48115,46362,1753,1.1,63373,61492,1881,1.18,Setembro/2019
JUNQUEIROPOLIS,76,83,-7,-0.14,1356,1166,190,3.94,1598,1658,-60,-1.18,Setembro/2019
JUQUIA,27,62,-35,-1.99,419,486,-67,-3.76,522,635,-113,-6.17,Setembro/2019
JUQUITIBA,105,77,28,0.63,1349,1189,160,3.75,1585,1560,25,0.57,Setembro/2019
LARANJAL PAULISTA,399,277,122,1.29,3904,2672,1232,14.74,4523,4036,487,5.35,Setembro/2019
LEME,565,505,60,0.3,5993,5189,804,4.11,7698,7175,523,2.64,Setembro/2019
LENCOIS PAULISTA,705,619,86,0.48,6336,5370,966,5.65,7893,7205,688,3.96,Setembro/2019
LIMEIRA,2727,2384,343,0.44,24818,22456,2362,3.09,31350,30022,1328,1.71,Setembro/2019
LINS,509,658,-149,-0.62,5362,5369,-7,-0.03,7148,7097,51,0.22,Setembro/2019
LORENA,432,400,32,0.2,3792,3673,119,0.75,4884,4786,98,0.62,Setembro/2019
LOUVEIRA,479,503,-24,-0.17,4162,4151,11,0.08,5736,5497,239,1.7,Setembro/2019
LUCELIA,483,250,233,2.83,3733,2395,1338,18.74,4382,3643,739,9.55,Setembro/2019
LUIS ANTONIO,83,169,-86,-1.1,3098,2374,724,10.36,3979,3429,550,7.68,Setembro/2019
MACATUBA,97,60,37,1.11,758,747,11,0.33,1010,1026,-16,-0.47,Setembro/2019
MAIRINQUE,245,231,14,0.14,2680,2330,350,3.5,3487,3061,426,4.3,Setembro/2019
MAIRIPORA,393,412,-19,-0.15,4310,3553,757,6.46,5231,4669,562,4.72,Setembro/2019
MARACAI,55,59,-4,-0.15,614,525,89,3.4,694,776,-82,-2.94,Setembro/2019
MARILIA,1996,1676,320,0.51,18426,17140,1286,2.08,24598,22772,1826,2.98,Setembro/2019
MARTINOPOLIS,82,51,31,1.36,934,681,253,12.24,1040,904,136,6.23,Setembro/2019
MATAO,852,805,47,0.14,14163,11986,2177,7.04,16502,14804,1698,5.41,Setembro/2019
MAUA,1559,1612,-53,-0.09,17240,16354,886,1.48,22321,21538,783,1.31,Setembro/2019
MIGUELOPOLIS,111,58,53,2.75,922,779,143,7.82,1209,980,229,13.15,Setembro/2019
MINEIROS DO TIETE,25,30,-5,-0.45,454,356,98,9.84,556,521,35,3.31,Setembro/2019
MIRACATU,45,54,-9,-0.35,545,580,-35,-1.37,672,798,-126,-4.76,Setembro/2019
MIRANDOPOLIS,79,81,-2,-0.05,1265,997,268,7.65,1491,1426,65,1.75,Setembro/2019
MIRANTE DO PARANAPANEMA,39,30,9,0.3,399,422,-23,-0.76,449,543,-94,-3.04,Setembro/2019
MIRASSOL,431,402,29,0.2,4214,3848,366,2.64,5490,5166,324,2.33,Setembro/2019
MOCOCA,372,333,39,0.23,4147,3798,349,2.06,5352,5034,318,1.87,Setembro/2019
MOGI DAS CRUZES,2956,3139,-183,-0.19,28842,29945,-1103,-1.11,37562,39251,-1689,-1.69,Setembro/2019
MOGI GUACU,1876,1616,260,0.68,16555,14828,1727,4.72,20734,19802,932,2.49,Setembro/2019
MOGI MIRIM,859,751,108,0.39,7575,7175,400,1.46,9800,9581,219,0.79,Setembro/2019
MONGAGUA,137,111,26,0.41,1654,1528,126,1.99,2428,2100,328,5.34,Setembro/2019
MONTE ALTO,402,419,-17,-0.13,3960,3654,306,2.36,4959,4792,167,1.27,Setembro/2019
MONTE APRAZIVEL,158,77,81,2.32,1367,1496,-129,-3.43,2025,1922,103,2.92,Setembro/2019
MONTE AZUL PAULISTA,182,131,51,0.99,2020,1708,312,6.4,2352,2396,-44,-0.84,Setembro/2019
MONTE MOR,308,296,12,0.11,3435,3171,264,2.59,4481,4621,-140,-1.32,Setembro/2019
MORRO AGUDO,130,121,9,0.12,2228,1684,544,8.12,2485,2810,-325,-4.29,Setembro/2019
MORUNGABA,80,253,-173,-3.95,1070,1278,-208,-4.71,1298,1637,-339,-7.46,Setembro/2019
NAZARE PAULISTA,50,63,-13,-0.57,902,825,77,3.53,1114,1142,-28,-1.22,Setembro/2019
NHANDEARA,53,36,17,0.99,425,428,-3,-0.17,589,576,13,0.74,Setembro/2019
NOVA GRANADA,70,89,-19,-0.62,1574,1308,266,9.19,1757,1620,137,4.53,Setembro/2019
NOVA ODESSA,577,492,85,0.44,5619,4655,964,5.17,6821,6175,646,3.41,Setembro/2019
NOVO HORIZONTE,358,232,126,1.21,3598,2878,720,7.29,4163,4443,-280,-2.58,Setembro/2019
OLIMPIA,446,345,101,0.68,4628,3718,910,6.43,5929,5230,699,4.87,Setembro/2019
ORLANDIA,337,298,39,0.37,3418,3437,-19,-0.18,5013,4584,429,4.25,Setembro/2019
OSASCO,4855,4571,284,0.19,45593,44318,1275,0.86,59803,58015,1788,1.21,Setembro/2019
OSVALDO CRUZ,189,190,-1,-0.01,1961,1700,261,3.93,2482,2226,256,3.85,Setembro/2019
OURINHOS,754,617,137,0.57,7371,6806,565,2.38,9472,9068,404,1.69,Setembro/2019
PACAEMBU,29,25,4,0.17,535,737,-202,-8.29,586,797,-211,-8.62,Setembro/2019
PALESTINA,48,46,2,0.08,968,901,67,2.59,1091,1121,-30,-1.12,Setembro/2019
PALMARES PAULISTA,19,43,-24,-2.75,261,173,88,11.1,304,377,-73,-7.65,Setembro/2019
PALMEIRA D OESTE,11,19,-8,-0.91,202,176,26,3.1,259,232,27,3.22,Setembro/2019
PALMITAL,73,71,2,0.05,1167,838,329,9.67,1398,1365,33,0.89,Setembro/2019
PANORAMA,115,63,52,2.13,845,777,68,2.8,1009,1013,-4,-0.16,Setembro/2019
PARAGUACU PAULISTA,194,198,-4,-0.04,2705,2224,481,4.4,3267,3402,-135,-1.17,Setembro/2019
PARAIBUNA,46,36,10,0.51,387,440,-53,-2.63,501,731,-230,-10.49,Setembro/2019
PARANAPANEMA,197,199,-2,-0.05,1755,1384,371,10.42,2089,2114,-25,-0.63,Setembro/2019
