municipio,admissoes_mes,desligamentos_mes,saldo_mes,variacao_mes,admissoes_ano,desligamentos_ano,saldo_ano,variacao_ano,admissoes_12m,desligamentos_12m,saldo_12m,variacao_12m,competencia
SALTO,919,1303,-384,-1.21,8241,8766,-525,-1.65,10833,11361,-528,-1.66,Setembro/2019
SALTO DE PIRAPORA,148,112,36,0.73,1393,1377,16,0.32,1878,1861,17,0.34,Setembro/2019
SANTA ADELIA,34,82,-48,-1.27,1065,1419,-354,-8.66,1272,1689,-417,-10.04,Setembro/2019
SANTA BARBARA D OESTE,1418,1474,-56,-0.12,14968,13632,1336,2.98,19582,18394,1188,2.64,Setembro/2019
SANTA BRANCA,99,100,-1,-0.04,1222,987,235,11.15,1311,1104,207,9.69,Setembro/2019
SANTA CRUZ DAS PALMEIRAS,142,117,25,0.42,2063,1561,502,9.07,2567,2529,38,0.63,Setembro/2019
SANTA CRUZ DO RIO PARDO,631,633,-2,-0.01,6030,5292,738,4.94,7262,6359,903,6.12,Setembro/2019
SANTA FE DO SUL,237,258,-21,-0.29,2510,2414,96,1.36,3473,3174,299,4.35,Setembro/2019
SANTA GERTRUDES,177,176,1,0.01,2130,1559,571,7.42,2685,2175,510,6.57,Setembro/2019
SANTA ISABEL,194,177,17,0.17,2245,2305,-60,-0.58,2927,3005,-78,-0.75,Setembro/2019
SANTA RITA DO PASSA QUATRO,209,182,27,0.42,3488,1973,1515,30.64,4079,3256,823,14.6,Setembro/2019
SANTA ROSA DE VITERBO,186,109,77,1.81,1264,1175,89,2.1,1541,1635,-94,-2.12,Setembro/2019
SANTANA DE PARNAIBA,1837,1627,210,0.42,17711,16066,1645,3.43,22384,21099,1285,2.66,Setembro/2019
SANTO ANASTACIO,61,54,7,0.25,744,598,146,5.53,914,793,121,4.54,Setembro/2019
SANTO ANDRE,5981,5683,298,0.15,59458,55943,3515,1.81,75908,72519,3389,1.75,Setembro/2019
SANTO ANTONIO DE POSSE,192,197,-5,-0.08,1782,1601,181,2.96,2616,2298,318,5.32,Setembro/2019
SANTOS,3724,3720,4,0.0,37988,38031,-43,-0.03,49388,49439,-51,-0.03,Setembro/2019
SAO BENTO DO SAPUCAI,56,27,29,1.87,289,269,20,1.28,356,347,9,0.57,Setembro/2019
SAO BERNARDO DO CAMPO,7132,6465,667,0.27,66833,65796,1037,0.43,85574,85911,-337,-0.14,Setembro/2019
SAO CAETANO DO SUL,4216,3966,250,0.23,36403,33916,2487,2.29,46795,44601,2194,2.01,Setembro/2019
SAO CARLOS,2313,2012,301,0.42,19672,19213,459,0.64,25587,25551,36,0.05,Setembro/2019
SAO JOAO DA BOA VISTA,605,520,85,0.38,6513,6144,369,1.69,8568,8910,-342,-1.51,Setembro/2019
SAO JOAQUIM DA BARRA,243,190,53,0.43,2846,2273,573,4.81,3610,3203,407,3.37,Setembro/2019
SAO JOSE DO RIO PARDO,390,566,-176,-1.2,5598,3807,1791,14.06,6587,6056,531,3.79,Setembro/2019
SAO JOSE DO RIO PRETO,5275,4995,280,0.2,47765,45439,2326,1.71,60917,59814,1103,0.81,Setembro/2019
SAO JOSE DOS CAMPOS,5998,5392,606,0.34,51120,49507,1613,0.91,66567,65081,1486,0.83,Setembro/2019
SAO LOURENCO DA SERRA,289,179,110,1.3,3131,3000,131,1.57,3816,3720,96,1.14,Setembro/2019
SAO LUIZ DO PARAITINGA,26,33,-7,-0.33,401,388,13,0.63,531,658,-127,-5.74,Setembro/2019
SAO MANUEL,266,165,101,1.35,2216,1829,387,5.31,2671,2710,-39,-0.51,Setembro/2019
SAO MIGUEL ARCANJO,141,100,41,1.07,1226,1124,102,2.7,1563,1499,64,1.68,Setembro/2019
SAO PAULO,145382,131859,13523,0.32,1336200,1256456,79744,1.91,1712395,1637002,75393,1.81,Setembro/2019
SAO PEDRO,201,193,8,0.12,2207,1621,586,9.52,2812,2334,478,7.63,Setembro/2019
SAO ROQUE,772,633,139,0.73,6707,6396,311,1.61,8879,8508,371,1.93,Setembro/2019
SAO SEBASTIAO,381,605,-224,-1.35,4160,4864,-704,-4.14,6024,6711,-687,-4.04,Setembro/2019
SAO SEBASTIAO DA GRAMA,100,129,-29,-1.33,1202,1091,111,5.28,1407,1349,58,2.69,Setembro/2019
SAO SIMAO,87,77,10,0.28,934,829,105,3.06,1169,1152,17,0.48,Setembro/2019
SAO VICENTE,1004,693,311,1.05,7659,7773,-114,-0.38,10496,10280,216,0.73,Setembro/2019
SERRA AZUL,35,18,17,2.0,212,158,54,6.59,260,236,24,2.83,Setembro/2019
SERRA NEGRA,144,178,-34,-0.53,1503,1467,36,0.56,1935,1886,49,0.77,Setembro/2019
SERRANA,253,158,95,1.53,2316,1732,584,10.0,2715,2668,47,0.74,Setembro/2019
SERTAOZINHO,1107,1063,44,0.11,14257,14401,-144,-0.37,19561,19139,422,1.11,Setembro/2019
SETE BARRAS,32,33,-1,-0.05,376,364,12,0.65,469,441,28,1.54,Setembro/2019
SEVERINIA,49,39,10,0.55,998,926,72,4.07,1221,1110,111,6.42,Setembro/2019
SOCORRO,254,216,38,0.48,2097,1971,126,1.61,2741,2623,118,1.51,Setembro/2019
SOROCABA,6201,5877,324,0.17,59462,58101,1361,0.73,77114,76170,944,0.5,Setembro/2019
SUMARE,2051,1633,418,0.78,17022,15245,1777,3.35,21604,21081,523,0.96,Setembro/2019
SUZANO,2701,1311,1390,2.46,17060,13491,3569,6.54,22115,17396,4719,8.84,Setembro/2019
TABAPUA,65,58,7,0.37,778,528,250,15.04,977,824,153,8.7,Setembro/2019
TABATINGA,242,322,-80,-1.98,2841,2200,641,19.34,3383,3493,-110,-2.71,Setembro/2019
TABOAO DA SERRA,2225,2094,131,0.21,24367,22998,1369,2.25,32594,30290,2304,3.85,Setembro/2019
TAGUAI,183,189,-6,-0.15,2053,1992,61,1.51,2521,2509,12,0.29,Setembro/2019
TAMBAU,168,124,44,0.87,1675,1459,216,4.45,2057,1859,198,4.06,Setembro/2019
TANABI,87,120,-33,-0.68,1339,1231,108,2.3,1725,1663,62,1.31,Setembro/2019
TAPIRATIBA,27,256,-229,-6.53,661,850,-189,-5.42,757,1084,-327,-9.01,Setembro/2019
TAQUARITINGA,239,313,-74,-0.77,3014,2983,31,0.33,3943,4148,-205,-2.11,Setembro/2019
TAQUARITUBA,157,162,-5,-0.11,1737,1521,216,5.22,2096,2136,-40,-0.91,Setembro/2019
TARUMA,153,118,35,0.73,1975,2187,-212,-4.26,2525,2979,-454,-8.71,Setembro/2019
TATUI,755,664,91,0.35,7222,6747,475,1.87,9292,8888,404,1.59,Setembro/2019
TAUBATE,2329,2053,276,0.38,23233,22655,578,0.79,29574,29376,198,0.27,Setembro/2019
TEODORO SAMPAIO,41,37,4,0.17,631,606,25,1.05,764,786,-22,-0.91,Setembro/2019
TIETE,408,379,29,0.22,3968,3312,656,5.17,4901,4609,292,2.24,Setembro/2019
TREMEMBE,88,114,-26,-0.55,1251,1124,127,2.77,1557,1500,57,1.22,Setembro/2019
TUPA,478,412,66,0.46,4606,4294,312,2.2,5777,5523,254,1.79,Setembro/2019
TUPI PAULISTA,58,50,8,0.43,679,492,187,11.07,796,775,21,1.13,Setembro/2019
UBATUBA,594,496,98,0.6,5133,5818,-685,-3.99,7845,7520,325,2.01,Setembro/2019
URUPES,95,82,13,0.46,1087,779,308,11.93,1262,1002,260,9.89,Setembro/2019
VALENTIM GENTIL,138,124,14,0.48,1145,1116,29,1.0,1469,1539,-70,-2.34,Setembro/2019
VALINHOS,1381,1361,20,0.04,13415,13213,202,0.44,17007,17080,-73,-0.16,Setembro/2019
VALPARAISO,152,88,64,1.17,1648,1023,625,12.71,1963,1733,230,4.33,Setembro/2019
VARGEM GRANDE DO SUL,278,426,-148,-1.95,3505,2045,1460,23.04,3929,4180,-251,-3.12,Setembro/2019
VARGEM GRANDE PAULISTA,285,281,4,0.04,3216,3197,19,0.18,4073,4281,-208,-1.89,Setembro/2019
VARZEA PAULISTA,539,600,-61,-0.39,5109,4630,479,3.17,6414,6183,231,1.5,Setembro/2019
VERA CRUZ,22,51,-29,-2.85,307,281,26,2.72,385,402,-17,-1.7,Setembro/2019
VINHEDO,1113,1220,-107,-0.29,10779,9711,1068,2.97,13515,12683,832,2.3,Setembro/2019
VIRADOURO,67,61,6,0.25,805,747,58,2.44,961,1130,-169,-6.49,Setembro/2019
VOTORANTIM,825,623,202,1.21,6113,5529,584,3.57,7913,7320,593,3.63,Setembro/2019
VOTUPORANGA,867,741,126,0.51,8306,8318,-12,-0.05,10791,10934,-143,-0.58,Setembro/2019
TOTAL,391028,355533,35495,0.3,3706467,3469549,236918,2.02,4752716,4585919,166797,1.41,Setembro/2019
